Radius_mm,TwoTheta_deg,Intensity_Raw,Intensity_Normalized_Percent
3.5575429168152413,6.671146728419522,222.77189781021897,92.4364721204228
3.599396362895421,6.746776556740557,222.52573529411765,92.3343299975592
3.6412498089756,6.822310685245537,222.4927536231884,92.32064465692466
3.683103255055779,6.897748247262534,221.9790076335878,92.10747204713186
3.724956701135959,6.973088383690881,221.16,91.76763485477179
3.766810147216138,7.048330243037876,221.6195652173913,91.95832581634494
3.808663593296317,7.123472981454147,221.28645833333334,91.8201071922545
3.8505170393764967,7.198515762767667,220.99137931034483,91.69766776362856
3.892370485456676,7.273457758516414,220.67123287671234,91.56482691979765
3.934223931536855,7.3482981479797065,220.55921052631578,91.51834461672854
3.9760773776170346,7.423036118208194,220.1206896551724,91.33638574903419
4.017930823697213,7.497670864052508,219.55166666666668,91.1002766251729
4.059784269777393,7.572201588190601,218.93512658227849,90.84445086401597
